genre,Number_of_songs,Average_duration,Explicit_ratio,Average_danceability,Average_energy,Average_loudness,Average_speechiness,Average_acousticness,Average_instrumentalness,Average_liveness,Average_valence,Average_tempo
Dance/Electronic,41,241092.39024390245,0.17073170731707318,0.6846097560975609,0.7758292682926828,-5.992390243902438,0.059251219512195114,0.06840368292682927,0.10360595439024388,0.18313658536585367,0.5235853658536586,125.50753658536586
R&B,13,227837.07692307694,0.15384615384615385,0.6634615384615384,0.6880769230769229,-6.254923076923076,0.12112307692307692,0.11113846153846153,0.0003329746153846154,0.15825384615384616,0.6333076923076923,106.92484615384615
country,9,223389.44444444444,0.0,0.5768888888888888,0.7594444444444446,-4.982,0.03655555555555555,0.20826888888888886,4.2777777777777775e-07,0.15195555555555557,0.5947777777777777,138.15077777777776
hip hop,121,229791.35537190083,0.8677685950413223,0.7225537190082647,0.6876942148760332,-5.773289256198349,0.20417603305785126,0.1397082892561983,0.005190502231404957,0.2044181818181819,0.5369553719008262,116.67694214876028
"hip hop, Dance/Electronic",15,236000.13333333333,0.4666666666666667,0.7635333333333334,0.6988666666666667,-6.389600000000001,0.14394,0.079324,0.0003468713333333334,0.11733333333333335,0.5356666666666666,135.4296666666667
"hip hop, pop",266,235997.5037593985,0.6766917293233082,0.7342744360902256,0.6987368421052632,-5.5465789473684195,0.17145939849624045,0.09945989473684211,0.0022308177443609023,0.19572669172932328,0.5530827067669177,119.09366917293237
"hip hop, pop, Dance/Electronic",75,213594.49333333335,0.16,0.6700133333333332,0.8167333333333333,-4.085013333333333,0.08498666666666667,0.09017456,0.017982489066666666,0.20939066666666664,0.5415000000000001,120.85552000000001
"hip hop, pop, R&B",235,240288.3829787234,0.42127659574468085,0.7108000000000001,0.6634042553191486,-6.082812765957445,0.12728255319148937,0.12932653617021275,0.0050563637021276584,0.1685829787234042,0.5776365957446811,115.52431063829788
"hip hop, pop, latin",14,235881.64285714287,0.07142857142857142,0.7137142857142856,0.8167857142857142,-4.967285714285714,0.10277857142857143,0.056026428571428574,0.00015220571428571427,0.2692571428571428,0.7305714285714286,127.21192857142854
"hip hop, pop, rock",9,233749.22222222222,0.6666666666666666,0.7235555555555556,0.7972222222222223,-4.220777777777779,0.14816666666666667,0.13523000000000002,0.00022274666666666665,0.1895,0.6325555555555555,123.11233333333332
latin,15,226330.73333333334,0.2,0.7347999999999999,0.7536,-4.6898,0.1286466666666667,0.2368286666666667,0.0007053439999999999,0.15169333333333332,0.5840666666666666,121.60486666666667
metal,9,243625.0,0.2222222222222222,0.47344444444444445,0.7493333333333334,-5.02411111111111,0.05491111111111112,0.15625766666666668,0.03475934,0.21305555555555555,0.4305777777777778,106.20888888888888
pop,415,224864.61204819276,0.13253012048192772,0.6485638554216866,0.7173662650602404,-5.568898795180728,0.07410650602409634,0.15304818939759046,0.007656293903614463,0.16987060240963847,0.5570809638554216,120.38266024096377
"pop, Dance/Electronic",216,209672.00462962964,0.06944444444444445,0.6555138888888891,0.7623796296296297,-5.156333333333333,0.07340462962962964,0.1110585666666667,0.0353265662962963,0.18627407407407406,0.5300796296296294,123.46548148148143
"pop, Folk/Acoustic",8,213603.625,0.0,0.5473750000000001,0.7473749999999999,-6.354375,0.047975000000000004,0.15161625,0.000412705,0.21,0.5723750000000001,118.35949999999998
"pop, R&B",172,240563.75,0.11046511627906977,0.6582441860465119,0.6595581395348841,-5.697058139534884,0.09669941860465114,0.1826993790697675,0.00854309377906977,0.1607656976744186,0.5340761627906975,117.43851162790703
"pop, R&B, Dance/Electronic",6,219508.5,0.16666666666666666,0.7945000000000001,0.7606666666666667,-5.195666666666666,0.10008333333333334,0.03359033333333333,0.005852740000000001,0.17595000000000002,0.7043333333333334,112.03383333333333
"pop, country",8,226669.625,0.0,0.5225,0.690625,-5.798500000000001,0.0364875,0.24333749999999998,3.5225e-05,0.1296375,0.37099999999999994,130.50875
"pop, latin",28,223845.17857142858,0.03571428571428571,0.724607142857143,0.8131071428571428,-4.541678571428571,0.06018214285714286,0.13410017857142859,0.000958867857142857,0.17414285714285718,0.7302857142857143,113.59032142857144
"pop, rock",26,221629.76923076922,0.0,0.5877692307692308,0.772076923076923,-5.792846153846154,0.05244230769230769,0.10180234615384615,0.02541506692307692,0.24963461538461534,0.6157307692307692,121.09757692307693
"pop, rock, Dance/Electronic",12,231208.41666666666,0.0,0.6494166666666666,0.7517499999999999,-6.270416666666667,0.0478,0.16334999999999997,0.09825819250000001,0.16615,0.6134166666666667,133.98083333333332
"pop, rock, metal",14,249647.42857142858,0.0,0.4708571428571428,0.7723571428571427,-5.5972857142857135,0.03681428571428572,0.02684275,8.5835e-05,0.16708571428571428,0.3163642857142857,128.93578571428571
rock,57,221197.22807017545,0.07017543859649122,0.5259298245614036,0.8076491228070177,-4.650052631578947,0.06489298245614035,0.049117468421052635,0.050414662982456136,0.19655964912280707,0.5223157894736843,129.53115789473685
"rock, metal",36,227747.30555555556,0.16666666666666666,0.5340000000000001,0.8731944444444446,-4.6338888888888885,0.0490888888888889,0.020766019444444443,0.0005169011111111111,0.20181111111111108,0.5028166666666665,127.39219444444448
"rock, pop",39,234272.97435897434,0.02564102564102564,0.5367435897435899,0.7561794871794872,-5.538666666666666,0.04944871794871794,0.07866169230769228,0.013114268717948718,0.2104102564102564,0.5104871794871795,123.89958974358969
"rock, pop, Dance/Electronic",8,203648.5,0.125,0.664,0.6631250000000001,-5.837875,0.1176125,0.33002387499999997,0.01545344,0.1424625,0.506125,135.76775
"rock, pop, metal",4,215349.5,0.25,0.48650000000000004,0.8685,-3.7295000000000003,0.052375,0.01222175,8.525e-05,0.14589999999999997,0.44875,140.2785
